postal_code,lat,lon
24376,54.6808339,9.9390555
24534,54.0738047,9.9825844
24536,54.1095625,9.9994595
24558,53.7804278,10.0425
24568,53.8409966,9.9604144
24576,53.9105992,9.8690867
24635,54.0048484,10.1694436
24768,54.2970422,9.6627735
24837,54.518425743,9.555017832
24848,54.4142473,9.5029523
24937,54.7884839,9.429778
24939,54.8039798,9.4199303
25335,53.7549316,9.6053005
25337,53.746598,9.7088764
25348,53.7825915,9.4362405
25421,53.6461272,9.7978295
25524,53.9178526,9.5299088
25541,53.914081,9.1405006
25746,54.2024296,9.1035436
25813,54.4649963,9.0418901
25821,54.6174325,8.9885832
25899,54.7616506,8.7566029
25938,54.7173519,8.4957628
25980,54.8624846,8.4192646
26121,53.1528198,8.2058213
26122,53.1367666,8.2045414
26133,53.105542,8.2219527
26160,53.1976796,8.0221238
26169,53.0127303,7.8090398
26316,53.386991,8.1195272
26389,53.5319736,8.0648945
26409,53.5980106,7.7652875
26452,53.4934459,7.9958882
26506,53.5825036,7.1616103
26548,53.7112996,7.2316759
26603,53.4708402,7.48462
26655,53.2586094,7.9257241
26721,53.381848,7.2042027
